n gflops
8 0.131493
16 0.317437
24 0.454352
32 0.588057
40 1.04593
48 1.1829
56 1.37727
64 1.55373
72 1.96438
80 02.29703
88 2.52808
96 2.69163
104 2.76794
112 3.09897
120 1.39794
128 3.70133
256 6.11229
384 53.9013
512 62.7868
640 82.8979
768 98.5577
896 107.861
1024 110.148
1152 119.004
1280 122.48
1408 127.16
1536 124.634
1664 133.682
1792 135.918
1920 141.633
2048 137.762
