n gflops
8 0.258291
16 0.587022
24 0.854992
32 0.840855
40 1.1757
48 1.29908
56 1.45794
64 1.54868
72 1.61827
80 1.60736
88 1.64665
96 1.57941
104 1.65358
112 1.65419
120 1.731
128 1.54724
256 6.35724
384 8.40875
512 8.50038
640 8.94652
768 9.00573
896 8.84043
1024 7.70847
1152 6.60317
1280 5.88617
1408 5.36301
1536 5.17273
1664 4.75684
1792 4.5703
1920 4.39668
2048 4.20379
