n gflops
8 0.213788
16 0.605496
24 0.835966
32 1.06363
40 1.20482
48 1.29213
56 1.43306
64 1.48147
72 1.60325
80 1.61222
88 1.65006
96 1.60226
104 1.63471
112 1.62399
120 1.71199
128 1.46311
256 9.54832
384 22.7728
512 25.5016
640 34.9512
768 39.2115
896 45.3911
1024 45.6097
1152 53.2375
1280 55.1423
1408 59.2907
1536 56.8226
1664 64.2778
1792 65.338
1920 69.6485
2048 64.2278
