n gflops
8 0.2761
16 0.4442
24 0.556
32 0.5847
40 0.657843
48 0.663517
56 0.709775
64 0.676477
72 0.743813
80 0.7367
88 0.74634
96 0.638709
104 0.759128
112 0.875795
120 2.18964
128 0.874505
256 0.543213
384 0.694015
512 0.442
640 0.651901
768 0.553958
896 0.626638
1024 0.402385
1152 0.490694
1280 0.425585
1408 0.412182
1536 0.328141
1664 0.366234
1792 0.346752
1920 0.34093
2048 0.258291
