n gflops
8 0.279495
16 0.599748
24 0.855738
32 1.06057
40 1.23477
48 1.34267
56 1.39623
64 1.55659
72 1.62021
80 1.63076
88 1.65543
96 1.60525
104 1.64562
112 1.66585
120 1.73967
128 1.46725
256 7.41262
384 11.8146
512 10.3812
640 12.0932
768 11.5501
896 12.1499
1024 10.5632
1152 11.9486
1280 11.4919
1408 11.9439
1536 10.4864
1664 11.8636
1792 11.3004
1920 11.8553
2048 9.60052
