n gflops
24 27.9461
48 42.6382
72 40.3599
96 44.8725
120 39.5793
240 28.2096
360 31.3962
480 30.2748
600 28.4918
720 28.0877
840 24.8768
960 18.9816
1080 13.6937
1200 12.1066
1320 11.4546
1440 11.4724
1560 11.8977
1680 11.0536
1800 12.8739
1920 11.2422
2040 14.1523
2160 10.8922
2280 10.664
2400 11.6457
